SMILES;logP
CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O;-2.1
C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2;-3.2
NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1;-3.4
N[C@@H](CC1=CNC=N1)C(O)=O;-3.6
C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N;-5.3
CC(=O)C(O)=O;0.066
N[C@@H](CC1=CC=CC=C1)C(O)=O;-1.2
[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2;0.32
C[N+](C)(C)CCO;-4.7
NCCCC[C@H](N)C(O)=O;-3.2
N[C@@H](CCCNC(N)=N)C(O)=O;-3.2
[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO;-1.9
NCCCNCCCCNCCCN;-1.5
N[C@@H](CC(O)=O)C(O)=O;-3.5
NCCC[C@H](N)C(O)=O;-3.7
N[C@@H](CCC(N)=O)C(O)=O;-4
NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1;-4.7
CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O;6.06
N[C@@H](CO)C(O)=O;-3.9
CSCC[C@H](N)C(O)=O;-2.2
N[C@@H](CC1=CC=C(O)C=C1)C(O)=O;-1.5
C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C;4.35
C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C;8.55
N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O;-5.9
OC(=O)CCC(O)=O;-0.4
CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1;-0.92
[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO;-3.9
N[C@@H](CCC(O)=O)C(O)=O;-3.2
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O;-4.9
CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCCCCCC;11.27
NCC(O)=O;-3.4
C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C;5.65
CC1=NC=C(CO)C(C=O)=C1O;0.18
CN(CC(O)=O)C(N)=N;-2.9
CC(C)C[C@H](N)C(O)=O;-1.6
N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O;-1.1
N[C@@H](CS)C(O)=O;-2.8
CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N;-3.1
CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C;7.05
CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O;6.95
N[C@@H](CCCNC(N)=O)C(O)=O;-3.9
C[C@@H](O)[C@H](N)C(O)=O;-3.5
NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O;-6
NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1;-0.69
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O;6.23
C[C@H](N)C(O)=O;-2.8
CC(C)[C@H](N)C(O)=O;-2
C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C;4.69
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C;10.51
CC1=C(O)C(CO)=C(CO)C=N1;-0.95
OC(=O)CCCC[C@@H]1CCSS1;2.11
CC[C@H](C)[C@H](N)C(O)=O;-1.5
COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O;-2.2
CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C;7.13
CC1=CC(=O)C2=CC=CC=C2C1=O;1.89
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O;-5.4
OC(=O)[C@@H]1CCCN1;-2.6
NC1=C2NC=NC2=NC=N1;-0.57
N[C@@H](CC(N)=O)C(O)=O;-4.3
[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC;1.65
COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F;2.8
CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O;5.27
[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC;1.47
C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1;4.76
[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO;1.56
NCC(CC(O)=O)C1=CC=C(Cl)C=C1;-0.78
CC(N)CC1=CC=CC=C1;1.8
CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O;1.05
CN1CCC[C@H]1C1=CN=CC=C1;1.16
CC1O[C@@]2(CS1)CN1CCC2CC1;1
OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2;3.53
COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1;1.82
CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O;1.53
CCC(O)(\C=C\Cl)C#C;1.62
C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O;-1.2
CC(C)(N)CC1=CC=CC=C1;2.08
CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12;3.26
COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C;2.45
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O;-2.1
CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1;2.54
OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1;0.56
CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O;5.5
CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1;1.16
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O;2.6
[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H];-14
CN1C=NC2=C1C(=O)N(C)C(=O)N2C;-0.55
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C;-8.4
CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1;1.87
CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1;0.24
CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1;2.75
[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2;3.53
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O;2.44
ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2;4.2
[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1;-0.5
COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2;6.46
COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1;-0.95
CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1;2.37
COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1;2.18
CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1;1.86
CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1;3.76
CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2;3.77
CN\C(NCC1=CC=CC=C1)=N/C;1.27
[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O;-0.51
CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1;-0.2
[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C;4.72
CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1;1.05
CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O;3.12
[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C;1.34
CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12;2.81
[Gd+3].CNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NC)CC([O-])=O)CC([O-])=O;-8.7
NC(N)=NCC1COC2(CCCCC2)O1;0.62
[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC;3.9
FC(F)OC(F)(F)C(F)Cl;2.8
[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O;-3.1
CC(C)C[C@H](CN)CC(O)=O;-1.3
CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1;2.79
CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O;0.53
NC1=CC(O)=C(C=C1)C(O)=O;0.83
[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1;3.28
CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1;0.33
BrCCC(=O)N1CCN(CC1)C(=O)CCBr;0.41
CCC(C)C1(CC)C(=O)NC(=O)NC1=O;1.45
CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1;2.49
ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1;5.84
[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C;1.68
CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O;1.59
NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1;-0.28
COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1;2.83
NC1=CC(C(O)=O)=C(O)C=C1;-0.29
[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C;4.19
ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1;4.3
[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO;1.82
[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC;2.58
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O;-0.53
NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1;1.27
CC(C)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1;5.37
O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1;2.15
[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C;3.13
[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O;-3.3
CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1;5.19
[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C;-7.1
ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1;5.84
[Ca++].CC([O-])=O.CC([O-])=O;-0.22
NC1=CC=C(C=C1)S(N)(=O)=O;-0.25
N[C@@H]1CONC1=O;-2.4
ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl;1.94
ClCCNC(=O)N(CCCl)N=O;1.02
CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C;0.73
COCCC1=CC=C(OCC(O)CNC(C)C)C=C1;1.76
CCN(C(=O)C=CC)C1=CC=CC=C1C;3.09
OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2;1.94
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O;-0.93
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1;3.06
COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1;5.43
COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C;2
CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I;2.89
NCCC1=CC=NN1;-0.62
[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2;0.13
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O;-0.65
CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O;2.16
COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1;3.16
CN1C2=C(NC=N2)C(=O)N(C)C1=O;-0.77
C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2;-0.92
N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O;2.8
CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C;3.47
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C;2.84
NCCC(O)(P(O)(O)=O)P(O)(O)=O;-4.5
CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1;4.92
[H]C(=O)[C@H](O)[C@@H](O)[C@]([H])(O[C@@]1([H])O[C@H](CO)[C@@]([H])(O[C@H]2O[C@H](C)[C@@H](N[C@@]3([H])C=C(CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO;-8.3
COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1;2.74
CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F;3.84
[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C;3.2
CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1;3.81
[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O;-9.3
OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl;3.94
CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1;2.5
CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O;1.97
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H];3.6
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O;0.9
CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C;4.07
CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C;4.52
CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1;2.42
NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2;-1.5
[H][C@@](C)(CN1C=NC2=C(N)N=CN=C12)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C;2.65
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1F)C(O)=O;2.44
NC[C@H]1CC[C@@H](CC1)C(O)=O;-1.6
[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@@]([H])(C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O;-3.2
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H];4.42
[H][C@]12CN3C4=C([C@@H](COC(N)=O)[C@@]3(OC)[C@@]1([H])N2)C(=O)C(N)=C(C)C4=O;-1
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O;1.59
CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C;6.94
CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1;2.54
[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C)[C@@]1([H])[C@](O)([C@H](O)[C@]2(CC)C=CC3)C(N)=O)[C@]1(C[C@@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=C2C=CC=C1)C(=O)OC;2.79
NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12;1.6
CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O;1.6
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O;1.89
CCCC(CCC)C(O)=O;2.8
[H][C@@]1(CCN=C(N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CNC(=O)C[C@@H](N)CCCN)NC(=O)[C@H](C)NC(=O)[C@@H](N)CNC1=O)=C/NC(N)=O.[H][C@@]1(CCN=C(N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CNC(=O)C[C@@H](N)CCCN)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CNC1=O)=C/NC(N)=O;-11
CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12;2.04
CC(=O)NC1=CC=C(O)C=C1;0.91
